id,tier1,tier2,tier3,explanation
178,Machining,Finishing,Buffing,"Soft wheel or pad charged with fine abrasive compound creating mirror finish through combination of fine cutting and polishing action. Select for high-luster mirror finish, decorative chrome-plated parts, or final aesthetic polish. Compliant wheel with compound (vs rigid abrasive), creates high luster/mirror finish, final polishing step. Jewelry, chrome-plated parts, decorative finishing, high-appearance products."
179,Machining,Finishing,Burnishing,"Smooth hard tool pressed and rubbed against surface plastically deforming surface peaks creating dense smooth surface with compressive residual stress. Choose for improved surface finish without material removal, inducing compressive stress, or sealing porous surfaces. Plastic deformation (vs material removal), improves finish and induces beneficial stress, cold working process. Shaft sealing surfaces, hydraulic cylinder rods, bearing surfaces, thread roots."
180,Machining,Finishing,Electroplating,"Electrochemical deposition of metal coating from solution onto conductive substrate for corrosion protection, appearance, or functional properties. Select for decorative chrome, corrosion protection (Zn, Ni), wear resistance, or electrical conductivity enhancement. Electrochemical metal deposition (vs mechanical plating), various metals available, thickness control via current/time. Decorative chrome, zinc corrosion protection, nickel plating, gold electrical contacts."
181,Machining,Finishing,Electro-polishing,"Electrochemical controlled anodic dissolution selectively removing metal creating smooth bright passive surface particularly effective for stainless steel. Choose for smooth passive surface on stainless, deburring complex shapes, pharmaceutical/food equipment, or micro-finishing. Electrochemical material removal (vs mechanical polishing), preferentially removes peaks, passive surface formation. Stainless medical instruments, pharmaceutical equipment, food processing components, decorative stainless."
182,Machining,Finishing,Magnetic field-assisted,"Finishing using magnetic field controlling ferromagnetic abrasive particle motion against workpiece for complex shapes and internal surfaces. Choose for complex internal passages, non-ferrous metals with magnetic media, or surfaces difficult to access mechanically. Magnetic field controls abrasive motion (vs mechanical contact), reaches complex internal features, suitable for complex geometries. Internal passages, complex mold surfaces, medical implant finishing, aerospace hydraulic components."
183,Machining,Finishing,Etching,"Chemical or electrochemical selective surface material removal for texturing, marking, decorative patterns, or micro-feature creation. Select for surface texturing, part marking/serialization, decorative patterns, or chemical micro-machining. Chemical dissolution process (vs mechanical removal), creates surface texture or features, artistic and industrial applications. Part marking, decorative patterns, surface texture for bonding, artistic metalwork."
184,Machining,Finishing,Linishing,"Wide abrasive belt sander producing flat surfaces and straight edges through controlled material removal and surface smoothing. Choose for flat surface finishing, straight edge production, or removing grinding/machining marks. Wide belt provides flat reference (vs narrow belt flexibility), suitable for flat surface finishing, produces straight edges. Knife blade flats, flat surface finishing, edge straightening."
185,Machining,Finishing,Mass finishing,"Batch tumbling or vibratory processing of multiple parts with media and compound to deburr, smooth, and polish surfaces. Select for deburring large quantities, uniform finishing of complex parts, or automated batch processing. Bulk processing in media (vs individual part handling), economical for quantities, reaches all surfaces. Deburring stamped/machined parts, vibratory finishing, surface smoothing, edge radiusing."
186,Machining,Finishing,Plating,"General term for applying metallic coating to substrate through electrochemical, mechanical, or chemical deposition for protection, decoration, or function. Choose based on specific plating method and coating requirements (corrosion, wear, appearance, conductivity). Coating application process (vs base material forming), various deposition methods, functional or decorative. Encompasses electroplating, mechanical plating, electroless plating variants."
187,Machining,Finishing,Polishing,"Progressively refining surface with increasingly fine abrasives achieving smooth lustrous surface with reduced roughness and improved appearance. Select for aesthetic surface requirements, reduced friction, or progressive improvement from rough to fine finish. Progressive finer abrasives (vs single grit), removes previous scratches each step, creates smooth lustrous surface. Aesthetic finishing, mold surfaces, medical devices, jewelry."
188,Machining,Finishing,Superfinishing,"Ultra-precision abrasive finishing using fine stones (<1μm effective) in controlled low-pressure oscillating motion producing extremely smooth surface (Ra < 0.05μm) with controlled micro-texture. Choose for bearing races, hydraulic seals, precision rolling surfaces, or when ultra-smooth controlled texture needed. Ultra-fine controlled finish (vs conventional honing), low pressure prevents geometry change, specific micro-texture. Bearing races, seal surfaces, precision rollers, hydraulic components."
189,Machining,Finishing,Wire brushing,"Rotating or reciprocating wire brushes mechanically abrading surface to clean, deburr, texture, or prepare surfaces. Select for surface cleaning, oxide removal, creating brushed texture, or deburring. Mechanical wire abrasion (vs abrasive particles), creates directional brushed texture, cleaning and light finishing. Weld cleaning, brushed texture creation, paint preparation, deburring."
190,Machining,Routing,,"Rotating multi-flute cutter removing material to create grooves, slots, profiles, or hollow out areas commonly in wood, plastics, composites. Choose for wood/plastic profiling, edge shaping, creating grooves/recesses, or CNC 2.5D/3D machining of non-metals. High-speed rotation (10,000-25,000 RPM typical), primarily wood/plastic/composites (vs metal milling), edge profiling and hollowing. Cabinetry, wood furniture, sign making, plastic part machining, composite trimming."
191,Machining,Hobbing,,"Generates gear teeth by continuously feeding rotating hob (worm-shaped cutter) across rotating gear blank in synchronized motion. Select for spur/helical gear production, splines, sprockets, or high-volume precision gear manufacturing. Continuous generation process (vs form cutting), hob and blank rotate synchronously, efficient for production quantities. Spur gears, helical gears, worm wheels, splines, sprockets."
192,Machining,Ultrasonic,,"High-frequency tool vibration (20kHz) combined with abrasive slurry mechanically impacting material for machining hard brittle materials. Choose for ceramics, glass, hardened tool steels, composites with abrasive fibers, or intricate features in hard materials. Ultrasonic vibration drives abrasive impacts (vs continuous cutting), suitable for brittle materials, complex shaped tools possible. Ceramic machining, glass drilling, sapphire processing, tungsten carbide machining."
193,Machining,Electrical discharge (EDM),,"Controlled electrical spark erosion between electrode and conductive workpiece in dielectric fluid removing material through melting and vaporization. Select for hardened tool steels, complex cavities, micro-features, or materials too hard for conventional machining. Thermal erosion via spark discharge (vs mechanical cutting), machines any conductive material regardless of hardness, no cutting forces. Die/mold cavities, micro-holes, hardened tool steel machining, complex internal features."
194,Machining,Electron beam,,"Focused high-velocity electron beam in vacuum for precision machining, welding, or surface treatment through kinetic energy conversion to heat. Choose for micro-machining, deep welding, or reactive metal processing in vacuum environment. Accelerated electrons in vacuum (vs laser photons in air), deep penetration possible, requires vacuum chamber. Micro-drilling, precision welding, surface heat treatment, reactive metal processing."
195,Machining,Electrochemical (ECM),,"Controlled electrochemical anodic dissolution (reverse electroplating) removing metal without mechanical forces ideal for complex shapes in hard materials. Select for complex internal cavities in hard materials, no tool wear, burr-free machining, or high material removal rates. Electrochemical dissolution (vs mechanical cutting), no tool wear, stress-free burr-free machining, conductive materials only. Turbine blade cooling holes, complex die cavities, deburring, high-hardness material machining."
196,Machining,Chemical,,"Controlled chemical dissolution selectively removing material using etchants and resist patterns for creating features or achieving surface characteristics. Choose for deburring, metal removal without mechanical stress, or chemical milling of thin sections. Chemical dissolution (vs mechanical forces), stress-free material removal, suitable for thin-wall structures and complex shapes. Chemical milling of aircraft skins, deburring, weight reduction, decorative etching."
197,Machining,Photochemical,,"Chemical machining using photoresist UV exposure to selectively protect areas during chemical etching enabling precision metal removal for fine features in thin materials. Select for fine-feature metal parts (<0.5mm thick), burr-free complex shapes, or photo-defined patterns. Photo-defined chemical etching (vs mechanical machining), extremely fine features possible, no burrs or mechanical stress. Lead frames, encoder disks, shims, fine screens, thin metal decorative parts."
198,Machining,Laser cutting,,"Focused high-power laser beam melts, vaporizes, or burns through material with assist gas ejecting molten material providing high precision minimal heat-affected zone. Choose for sheet metal cutting, complex 2D profiles, non-contact cutting, or materials sensitive to mechanical forces. Thermal cutting via focused laser (vs mechanical blade), narrow kerf minimal HAZ, non-contact process. Sheet metal fabrication, tube cutting, signage, intricate 2D profiles in various materials."
199,Machining,Laser cutting,Laser drilling,"Pulsed or continuous laser beam creating holes via material melting and vaporization suitable for very small diameter high aspect ratio holes. Select for micro-holes (<0.5mm), cooling holes in turbine blades, non-round holes, or materials difficult to drill mechanically. Thermal ablation creates hole (vs mechanical drilling), capable of very small diameters, non-contact process. Turbine blade cooling holes, fuel injector nozzles, micro-via drilling, aerospace precision holes."
200,Machining,Grinding,,"Abrasive wheel containing bonded abrasive particles rotating at high speed removing material achieving precise dimensions and fine surface finish. Choose for hardened materials, precision tolerances (±0.0001""), fine surface finish (Ra < 0.4μm), or final finishing operation. Abrasive wheel cutting (vs defined edge tool), capable of machining hardened materials, precision dimensions and finish. Surface grinding, cylindrical grinding, tool sharpening, bearing race finishing."
201,Machining,Grinding,High stock removal,"Aggressive grinding operations optimized for rapid material removal rates while maintaining control for roughing before precision finishing. Select for rapid material removal from forgings/castings, pre-hardened stock reduction, or roughing before precision grinding. High removal rates (vs precision grinding), creep-feed or aggressive parameters, roughing operation. Rough grinding forgings, stock removal, pre-finishing heavy cuts."
202,Machining,Gashing,,"Rough cutting creating initial tooth gullets or spaces in tool blanks (saws, milling cutters, hobs) before final tooth forming and sharpening. Choose for initial cutter tooth spacing, creating relief for subsequent finishing, or roughing gear/cutter blanks. Roughing operation creating tooth spaces (vs finish tooth forming), prepares blank for subsequent operations. Saw blade tooth formation, milling cutter roughing, hob blank preparation."
203,Machining,Biomachining,,"Biological microorganisms or enzymes selectively degrading/dissolving materials providing environmentally friendly alternative to chemical machining. Select for environmentally sensitive applications, selective material removal, or research into sustainable manufacturing. Biological material removal (vs chemical/mechanical), environmentally friendly, slower than conventional methods. Research applications, eco-friendly processing, selective biological material removal."
204,Machining,CAM programming,,"Computer-aided manufacturing software converting CAD models into toolpaths and NC code for automated CNC machining operations. Choose for CNC programming, toolpath optimization, multi-axis machining, or manufacturing process simulation. Software-based programming (vs manual G-code writing), toolpath simulation and verification, optimizes cutting strategies. Essential for CNC machining, complex part programming, manufacturing engineering."
205,Machining,Machinability characterisation,,"Testing and analysis determining material cutting characteristics, tool life, cutting forces, surface finish, and optimal parameters for manufacturing planning. Select when establishing machining parameters for new materials, optimizing processes, or research into cutting mechanics. Material testing and analysis (not production machining), establishes optimal machining parameters, research and process engineering. New material evaluation, process optimization, manufacturing research."
206,Machining,Machining dynamics,,"Study and control of vibrations, forces, stability, chatter, and dynamic interactions during machining to optimize parameters preventing chatter for better quality and productivity. Choose when addressing vibration/chatter issues, optimizing stability limits, or high-performance machining development. Analysis of dynamic behavior (not machining process itself), vibration control, stability improvement. Process optimization, chatter elimination, high-performance machining development."
207,Machining,Stress and surface texture optimisation,,"Process engineering controlling machining parameters to achieve desired residual stress states and surface texture characteristics for component performance and functionality. Choose when surface integrity critical, fatigue life optimization, or specific surface functional requirements. Parameter optimization for surface properties (beyond dimensional control), controls residual stress and texture, engineering approach. Aerospace critical components, fatigue-critical parts, bearing surfaces, sealing surfaces."
208,Machining,Plasma,,"Ionized gas (plasma arc 20,000°C+) cutting or treating electrically conductive materials through rapid melting and gas ejection. Select for cutting thick steel/stainless/aluminum, rapid production cutting, or when oxy-fuel cutting speed inadequate. Ionized gas cutting (vs mechanical or laser), fast cutting of thick conductors, wider kerf than laser. Steel plate fabrication, thick material cutting, industrial metal cutting."
209,Machining,Cutting tool development,,"Design, engineering, optimization of cutting tool geometry, substrate materials, coatings, and configurations to improve machining performance and tool life. Choose when optimizing machining processes, developing tools for difficult materials, or custom tooling requirements. Tool engineering and design (not machining process), develops cutting solutions, research and development. Tool manufacturers, process optimization, difficult material machining solutions, manufacturing research."
210,Moulding,,,"Forms materials (polymers, powder metals, composites) into specific shapes using molds through thermal, pressure, or chemical processes. Select for complex polymer parts, high-volume production, net-shape powder metallurgy, or when mold cavity defines final geometry. Uses mold cavity to define shape (vs open forming or machining), primarily polymers and PM (vs metal casting), various thermal/pressure/chemical methods. Plastic injection molding, powder metallurgy, composite molding variants."
211,Moulding,Powder metallurgy,,"Produces metal parts from metal powders through compaction and sintering achieving near-net-shape with controlled porosity or full density. Choose for complex shapes in difficult-to-machine materials, controlled porosity (bearings), or high-volume production with minimal waste. Powder-based metal forming (vs molten metal casting or bulk forming), enables unique properties (porosity, material blends), near-net-shape reduces machining. Gears, bearings, structural parts, cutting tool inserts."
212,Moulding,Powder metallurgy,Compaction and sintering,"Two-stage PM process: room-temperature powder compression in die creating green compact, then high-temperature furnace heating bonding particles through solid-state diffusion. Select for cost-effective PM production, conventional press-and-sinter process, or parts accepting 85-95% density. Sequential compress-then-heat process (vs simultaneous in HIP), achieves controlled porosity or near-full density, most economical PM route. Bronze bearings (with porosity), structural PM parts, traditional PM components."
213,Moulding,Powder metallurgy,Hot isostatic pressing,"Simultaneous high temperature (>1000°C) and high isostatic gas pressure (100-200 MPa) consolidating powder to near-100% density with superior properties. Choose for full-density requirements, eliminating porosity in castings/AM parts, or critical aerospace/medical applications. Simultaneous temperature and pressure (vs sequential in press-and-sinter), isostatic pressure from all directions, achieves full density. Near-net-shape superalloy components, densifying AM parts, cast porosity elimination, medical implants."
214,Moulding,Powder metallurgy,Metal injection moulding,"Mixes fine metal powder (<20μm) with polymer binder, injection molds complex shapes, then debinds and sinters to dense metal part. Select for complex geometries like plastic injection molding, small parts (<100g typical), high-volume production (>10,000 units). Combines injection molding forming with PM metallurgy (vs conventional PM pressing), produces intricate shapes, shrinkage during debind/sinter (~15-20%). Medical instruments, firearm components, complex small metal parts, orthodontic brackets."
215,Moulding,Powder metallurgy,Spray forming,"Atomizes molten metal into fine droplets then deposits onto substrate/mandrel creating near-net-shape preforms with refined microstructure. Choose for large billet/tube preforms, reduced segregation in alloys, or avoiding ingot casting defects. Spray deposition builds preform (vs casting into mold), rapid solidification refines microstructure, produces near-net-shape billets. Large diameter tubes, bimetallic tubes, alloys with segregation issues, rapid solidification alloys."
216,Moulding,Rapid prototyping,,"Quickly produces physical prototypes or production parts from digital models using additive or accelerated conventional manufacturing processes for testing and development. Choose for design verification, functional testing, low-volume production, or rapid iteration. Rapid production emphasis (vs production manufacturing), includes additive and accelerated conventional processes, focuses on speed. Design validation, functional prototypes, low-volume production, bridge tooling. Note: This category contains various molding processes that can be used for prototyping. POLYMER/PLASTIC prototypes ONLY. NOT metal casting patterns."
217,Moulding,Rapid prototyping,Injection,"High-pressure thermoplastic injection into closed heated mold producing complex parts with excellent precision and surface finish for mass production. Select for high-volume plastic parts (thousands to millions), complex geometries, tight tolerances (±0.005""), or excellent surface finish. Molten plastic injected under pressure (vs compression molding), extremely short cycles (seconds), reusable molds, thermoplastics. Consumer products, automotive interior, electronics enclosures, medical devices."
218,Moulding,Rapid prototyping,Compression molding,"Places pre-measured thermoset or thermoplastic charge in open heated mold then closes mold applying pressure to cure/form part. Choose for thermoset molding, large flat parts, fiber-reinforced composites (SMC/BMC), or when injection pressure insufficient. Material placed in open mold before closing (vs injection of molten material), slower cycles than injection, suitable for thermosets and fiber-reinforced. Electrical components, automotive parts from SMC, thermoset housings, compression-molded composites."
219,Moulding,Rapid prototyping,Transfer,"Thermoset molding where material heated in pot/chamber then forced through runners into closed heated mold cavities for curing. Select for thermoset encapsulation of inserts, multiple cavities from single charge, or delicate inserts that can't withstand compression. Material transfers from pot into mold (vs placing directly in cavity), suitable for encapsulating inserts, thermosets only. Encapsulating electronics, molding around inserts, multi-cavity thermoset molding."
220,Moulding,Rapid prototyping,Extrusion,"Continuous process forcing molten polymer through shaped die creating constant cross-section profiles then cooling/solidifying. Choose for continuous profiles (pipe, sheet, film), constant cross-section products, or high-volume production of extruded shapes. Continuous process (vs discrete part molding), constant cross-section output, high production rates. Plastic pipe/tubing, window profiles, films/sheets, extruded profiles."
221,Moulding,Rapid prototyping,Blow molding,"Inflates heated plastic parison (tube or preform) inside closed mold cavity creating hollow plastic parts. Select for hollow bottles/containers, thin-wall hollow parts, or high-volume container production. Internal air pressure forms hollow part (vs solid injection molding), suitable for bottles and hollow vessels. Beverage bottles, detergent containers, automotive fuel tanks, hollow toys."
222,Moulding,Rapid prototyping,Dip moulding,"Dips heated or room-temperature mold form into liquid polymer (plastisol, latex) then withdraws and cures creating seamless hollow flexible parts. Select for seamless flexible products, gloves, balloons, tool grips, or coating applications. Dipping process creates seamless hollow (vs assembled), flexible materials (plastisol, latex, polyurethane), inside-out forming. Gloves, balloons, tool handle grips, protective caps, medical catheters."
223,Moulding,Rapid prototyping,Rotational molding,"Rotates heated hollow mold containing polymer powder or liquid in multiple axes distributing material coating interior then cooling to form hollow seamless part. Select for large hollow seamless parts, low-volume large tanks, or complex hollow shapes without seams. Rotation distributes material coating mold interior (vs blow molding inflation), seamless construction, suitable for large parts. Storage tanks, playground equipment, kayaks, large hollow industrial parts. PLASTIC/POLYMER ONLY. NOT metal centrifugal casting."
224,Moulding,Rapid prototyping,Thermoforming,"Heats plastic sheet until pliable then forms over/into mold using vacuum, pressure, or mechanical force producing packaging and panels. Choose for large thin-wall parts, packaging trays/clamshells, low tooling cost, or short production runs. Heated sheet formed over/into mold (vs molten injection), low mold cost, limited to relatively simple geometries. Packaging blisters, refrigerator liners, aircraft interior panels, disposable cups/trays."
225,Moulding,Rapid prototyping,Laminating,"Bonds multiple layers of material (paper, fabric, plastic, metal) together using adhesive, heat, and pressure creating composite panels. Select for composite panels, decorative laminates, printed circuit boards, or multi-material structures. Layer bonding process (vs single material molding), combines different materials, adhesive or thermal bonding. Decorative laminates, PCB fabrication, furniture panels, composite boards."
226,Moulding,Rapid prototyping,Expandable bead,"Steam heats pre-expanded polystyrene beads in mold causing further expansion and fusion creating lightweight foam products. Choose for lightweight packaging, insulation, protective packaging, or low-density molded shapes. Pre-expanded beads fuse via steam heat (vs solid polymer molding), very low density products, excellent insulation. EPS packaging, coolers, insulation boards, protective packaging, flotation devices."
227,Moulding,Rapid prototyping,Foam,"Creates cellular polymer structures through chemical or physical foaming agents producing lightweight insulation, cushioning, and structural parts. Select for lightweight structures, thermal/acoustic insulation, cushioning, or reduced material usage. Cellular structure via foaming (vs solid polymer), reduced density and weight, insulating properties. Polyurethane foam, packaging foam, insulation, cushioning, structural foam molding."
228,Moulding,Rapid prototyping,Vacuum plug assist,"Thermoforming using vacuum suction plus mechanical plug to assist forming improving detail and thickness distribution in deep-draw applications. Choose for deep draws, improved detail vs vacuum-only, better thickness control, or complex thermoformed shapes. Plug mechanically assists vacuum forming (vs vacuum alone), improves deep-draw capability, better thickness distribution. Deep packaging trays, complex thermoformed parts, refrigerator door liners."
229,Moulding,Rapid prototyping,Pressure plug assist,"Thermoforming using positive air pressure plus mechanical plug to assist forming providing better control and detail than vacuum alone. Select for superior detail replication, thicker materials, or when vacuum insufficient for forming depth. Positive pressure plus plug assist (vs vacuum-only), better detail and material distribution. High-detail thermoformed parts, thick-gauge forming, automotive interior panels."
230,Moulding,Rapid prototyping,Matched mould,"Thermoforming using matched male and female mold halves providing precise dimensions and surface detail on both part surfaces. Choose for precise dimensions on both surfaces, complex details, or critical tolerances in thermoformed parts. Matched dies create both surfaces (vs single-sided thermoforming), superior dimensional control, higher tooling cost. Precision thermoformed parts, two-sided detail requirements, close-tolerance applications."
231,Moulding,Shrink wrapping,,"Wraps product with plastic film then applies heat causing film to shrink tightly conforming to product contours providing protection and tamper evidence. Select for product protection, tamper-evident packaging, unitizing loads, or conforming packaging to irregular shapes. Heat-shrink film conforms to product (vs rigid packaging), tamper-evident seal, economical protective packaging. Retail packaging, pallet wrapping, bundling products, tamper-evident seals."
232,Design,,,"Engineering activities defining specifications, architectures, and plans for products, systems, processes, or facilities before physical production through analysis and modeling. Choose for optimizing concepts before manufacturing commitment, analyzing alternatives, or defining manufacturing requirements. Preparatory engineering (vs production execution), creates specifications and plans, analytical and predictive. Product design, process design, factory layout, lifecycle planning."
233,Design,Software design,,"Engineering software architectures, systems, interfaces, and implementations for manufacturing control, simulation, analysis, or product embedded systems. Select for manufacturing control systems, process simulation software, embedded product software, or digital manufacturing tools. Software engineering for manufacturing applications (vs production processes), creates control/simulation/analysis systems. MES systems, simulation software, embedded controls, manufacturing analytics platforms."
234,Design,Modelling and simulation,,"Creates mathematical and computational models predicting, analyzing, and optimizing system behavior, performance, and characteristics before physical production. Choose for virtual validation, process optimization, analyzing design alternatives, or reducing physical prototyping. Virtual representation and analysis (vs physical testing), predictive capability, explores alternatives before building. FEA, CFD, process simulation, digital twins, manufacturing system modeling."
235,Design,Process (workflow) design,,"Defines, documents, and optimizes manufacturing sequences, material flows, information flows, and operations to achieve efficient production systems. Select for production process planning, workflow optimization, eliminating waste, or defining manufacturing procedures. Process definition and optimization (vs facility design or product design), focuses on operations sequence and flows. Manufacturing process planning, value stream mapping, workflow optimization, production sequence design."
236,Design,Factory design,,"Plans physical layout, equipment selection, material handling systems, infrastructure, and workflows for manufacturing facilities optimizing efficiency and operations. Choose for new facility planning, layout optimization, capacity planning, or integrating equipment and workflows. Facility planning and layout (vs product or process design), optimizes physical arrangement and flows. Plant layout, equipment specification, material handling design, facility master planning."
237,Design,Human centred design,,"Design philosophy prioritizing human factors, ergonomics, usability, and user needs throughout design process ensuring products and systems work effectively for people. Select when human interaction critical, improving usability/ergonomics, or reducing human error in operations. Human-focused design approach (vs purely technical optimization), considers cognitive/physical/organizational factors. Workstation design, user interface design, ergonomic tooling, error-proofing systems."
238,Design,Digital prototyping,,"Creates detailed virtual 3D models, assemblies, and simulations of products for testing, validation, and visualization before physical prototypes. Choose for virtual validation before physical prototyping, design iteration without tooling, or evaluating design alternatives. Virtual 3D modeling and analysis (vs physical prototypes), enables rapid iteration, validates form/fit/function digitally. CAD modeling, virtual assembly, interference checking, digital mockups, visualization."
239,Design,Product Life Cycle Analysis,,"Systematic analysis evaluating environmental, economic, and performance impacts throughout product life from raw material extraction through manufacturing, use, and disposal. Choose for sustainability assessment, environmental impact quantification, design for environment, or regulatory compliance. Holistic lifecycle assessment (vs single-phase analysis), environmental and economic impacts, cradle-to-grave or cradle-to-cradle. Eco-design, carbon footprint analysis, sustainability reporting, environmental optimization."
240,Design,Design for 2nd life and End of life,,"Design approach considering product reuse, remanufacturing, recycling, and disposal from initial concept planning for disassembly, material recovery, and environmental responsibility. Choose for circular economy design, facilitating remanufacturing, maximizing material recovery, or minimizing end-of-life environmental impact. End-of-life planning integrated early (vs afterthought), considers disassembly and material separation, circular economy principles. Design for disassembly, remanufacturing design, recyclability optimization, modular upgradeable products."
241,Digital,,,"Technologies, systems, and capabilities related to computerization, data processing, connectivity, automation, and information technology in manufacturing environments. Select for implementing Industry 4.0, data-driven decision making, cyber-physical systems, or digital transformation of manufacturing. Information technology for manufacturing (vs physical production processes), enables connectivity and intelligence, data-centric capabilities. IoT, AI/ML, data analytics, cybersecurity, digital twins, visualization technologies."
242,Digital,Cybersecurity,,"Technologies, practices, and policies protecting digital systems, networks, data, and operations from unauthorized access, attacks, and cyber threats in manufacturing. Choose for protecting industrial control systems, securing manufacturing data, ensuring operational resilience, or regulatory compliance. Protective security for digital manufacturing (vs general IT security), OT/IT convergence protection, manufacturing-specific threats. Industrial control system security, network segmentation, threat monitoring, incident response, security policies."
243,Digital,Data analytics,,"Techniques and systems collecting, processing, analyzing, and visualizing manufacturing data to derive insights, optimize operations, and support decision-making. Select for process optimization, predictive maintenance, quality analytics, or data-driven continuous improvement. Data-driven insight generation (vs data collection alone), statistical/ML analysis of manufacturing data, actionable intelligence. Process analytics, quality analytics, predictive maintenance, performance dashboards, statistical process control."
244,Digital,Standards and policies related to digital engineering,,"Frameworks, protocols, regulations, and best practices governing digital manufacturing, data exchange, interoperability, security, and intellectual property. Choose for ensuring interoperability, compliance with digital standards, protecting IP in digital workflows, or establishing digital governance. Governance and standardization (vs technical implementation), enables interoperability and compliance, organizational/industry frameworks. ISA-95, MTConnect, PLM standards, data security policies, digital rights management."
245,Digital,Artificial intelligence / machine learning,,"Computer systems and algorithms learning from data to perform tasks like prediction, classification, optimization, and decision support in manufacturing applications. Select for predictive maintenance, quality prediction, process optimization, computer vision inspection, or autonomous decision-making. Data-driven learning systems (vs rule-based programming), pattern recognition and prediction, adaptive algorithms. Predictive maintenance AI, vision inspection, process parameter optimization, demand forecasting, anomaly detection."
246,Digital,Industrial IoT,,"Interconnected network of sensors, devices, machines, and systems in manufacturing environment collecting and exchanging data for monitoring, control, and optimization. Choose for real-time monitoring, equipment connectivity, predictive analytics, or digital factory implementation. Connected manufacturing devices (vs standalone equipment), sensor networks and data exchange, enables real-time visibility. Connected machines, sensor networks, edge computing, MQTT/OPC-UA protocols, condition monitoring."
247,Digital,Visualisation,,"Technologies creating visual representations of data, models, processes, or systems for understanding, analysis, communication, and decision-making. Select for data visualization, virtual training, design review, or enhanced operator guidance. Visual representation technologies (vs textual/numerical data), improves understanding and communication, various immersive and display technologies. Includes VR, AR, MR, XR and traditional visualization."
248,Digital,Visualisation,Virtual Reality,"Fully immersive computer-generated 3D environment users interact with via headset and controllers for training, design review, simulation, and visualization. Choose for immersive training without real equipment, virtual factory planning, design reviews in full scale, or hazard-free training. Complete immersion blocks real world (vs AR overlay), presence in virtual environment, requires VR headset. Virtual assembly training, immersive design review, factory layout planning, equipment operation training."
249,Digital,Visualisation,Augmented reality,"Overlays digital information, graphics, and instructions onto real-world view through devices enhancing perception and providing contextual information. Select for guided assembly instructions, maintenance procedures, real-time data overlay, or training with real equipment. Digital overlay on real world (vs full VR immersion), contextual information in situ, see-through displays (glasses/tablets). Guided assembly, maintenance instructions, quality inspection guidance, warehouse picking assistance."
250,Digital,Visualisation,Extended reality,"Umbrella term encompassing all immersive technologies including virtual reality, augmented reality, and mixed reality for manufacturing applications. Choose when referring broadly to immersive technologies or implementing multiple XR variants. Comprehensive category (vs specific VR/AR/MR), includes entire spectrum of immersive technologies, vendor-neutral terminology. Encompasses all immersive visualization technologies for manufacturing."
251,Digital,Visualisation,Mixed Reality,"Blends physical and digital worlds allowing virtual objects to interact with real environment anchored to physical space for collaborative design and spatial computing. Choose for co-located virtual and physical interaction, collaborative design review, or spatial anchoring of digital content. Virtual objects interact with physical environment (vs pure AR overlay or VR isolation), spatial anchoring and persistence, holographic displays. Collaborative 3D design review, spatially-anchored work instructions, holographic quality inspection."
252,Measurement OR Testing,,,"Processes, equipment, and techniques for evaluating, measuring, inspecting, and verifying physical, chemical, mechanical, and dimensional characteristics of materials and products. Choose for quality assurance, process control, material characterization, or conformance verification. Validation and characterization (vs production processes), ensures quality and conformance, wide range of measurement technologies. Dimensional inspection, material testing, NDT, chemical analysis, performance testing."
253,Measurement OR Testing,Microscopy and material characterisation,,"Analytical techniques using microscopes and instruments examining microstructure, composition, morphology, and properties of materials at microscopic scales. Select for microstructure analysis, failure analysis, material identification, or research into material properties. Micro-scale examination (vs macro inspection), reveals internal structure and composition, various microscopy and spectroscopy methods. Optical microscopy, SEM, TEM, EDS, XRD for material characterization."
254,Measurement OR Testing,,,"Placeholder or general category for measurement and testing capabilities not elsewhere classified in the taxonomy. Context-dependent application - represents general measurement/testing when specific method not specified. General measurement/testing designation, catch-all category, use more specific subcategories when possible. Various measurement and testing applications."
255,Measurement OR Testing,Chemical analysis,,"Laboratory techniques identifying and quantifying chemical composition and elements in materials using spectroscopy, chromatography, and wet chemistry methods. Choose for material verification, contamination analysis, alloy composition, or elemental analysis. Chemical composition determination (vs physical/mechanical testing), qualitative and quantitative analysis, various analytical methods. ICP, XRF, titration, chromatography for composition analysis."
256,Measurement OR Testing,Contact and non-contact coordinate measurement,,"Dimensional measurement using coordinate measuring machines with touch probes (contact) or optical/laser sensors (non-contact) to verify geometry and tolerances. Select for precision dimensional inspection, complex geometry verification, or 3D measurement with coordinate data. Coordinate-based measurement (vs simple gauges), contact (tactile) or non-contact (optical/laser) methods, high-accuracy 3D data. CMM inspection, laser scanning, optical CMM for precision dimensional verification."
257,Measurement OR Testing,Humidity measurement and monitoring,,"Instrumentation and sensors measuring relative humidity, dew point, or absolute moisture content in environments for process control and quality assurance. Choose for environmental monitoring in manufacturing, hygroscopic material processing, or coating/bonding processes requiring humidity control. Moisture content measurement (vs other environmental parameters), critical for moisture-sensitive processes, various sensor types. Hygrometers, dew point sensors for paint booths, composite processing, electronics manufacturing."
